route_long_name,route_short_name,agency_id,route_desc,route_type,route_id,route_url,route_color,route_text_color
BĘDZIN KOŚCIUSZKI - KATOWICE PIOTRA SKARGI,40,1,Będzin Kościuszki - Nowak-Mosty Będzin Arena - Będzin Muzeum - Będzin Targowisko - Os. Zamkowe Piastowska - Os. Syberka Ośr. Zdrowia - Os. Syberka Kościół - Nowak-Mosty Będzin Arena - Będzin Cmentarz Komunalny - Pogoń Akademiki - Pogoń Klub Kiepury - Pogoń Grota-Roweckiego - Milowice Park Logistyczny - Dąbrówka Mała Skrzyżowanie - Dąbrówka Mała Centrum Handlowe - Katowice Strefa Kultury - Katowice Piotra Skargi,3,40,https://rj.metropoliaztm.pl/rozklady/3-40,FF0000,FFFF80
BĘDZIN KOŚCIUSZKI - MACZKI KOŚCIUSZKI,28,1,Będzin Kościuszki - Nowak-Mosty Będzin Arena - Będzin Aleja Kołłątaja - Koszelew Kościół - Dąbrowa Górnicza Fabryka Pełna Życia - Dąbrowa Górnicza Centrum - Reden Wojska Polskiego - Ostrowy Górnicze Rondo - Maczki Kościuszki,3,28,https://rj.metropoliaztm.pl/rozklady/3-28,000000,FF8080
BĘDZIN KOŚCIUSZKI - PORĄBKA OSIEDLE JULIUSZ II,260,1,Będzin Kościuszki - Nowak-Mosty Będzin Arena - Będzin Aleja Kołłątaja - Koszelew Kościół - Dąbrowa Górnicza Centrum - Zagórze Hala Sportowa - Zagórze Centrum - Zagórze Centrum Przesiadkowe - Zagórze Osiedle - Zagórze Rondo Jana Pawła II - Klimontów Hospicjum - Porąbka Kopalnia - Porąbka Osiedle Juliusz II,3,260,https://rj.metropoliaztm.pl/rozklady/3-260,FF0000,FF8080
BĘDZIN KOŚCIUSZKI - SIEWIERZ DOM KULTURY,269,1,Będzin Kościuszki - Nowak-Mosty Będzin Arena - Będzin Muzeum - Łagisza Poczta - Sarnów Główna - Goląszka DK86 - Kuźnica Warężyńska Skrzyżowanie - Mrowieniec na żądanie - Przeczyce Przystań - Mierzęcice Urząd Gminy - Niwiska Pętla - Mierzęcice PKP - Niwiska Pętla - Niwiska - Boguchwałowice - Boguchwałowice Sklep - Siewierz Rynek - Siewierz Dom Kultury,3,269,https://rj.metropoliaztm.pl/rozklady/3-269,00FFFF,8080FF
BĘDZIN KOŚCIUSZKI - SĄCZÓW KOŚCIÓŁ,107,1,Będzin Kościuszki - Nowak-Mosty Będzin Arena - Będzin Muzeum - Łagisza Poczta - Gródków Szkoła - Psary Kościół - Siemonia Kościół - Siemonia Wolności - Podsiemonia - Sączów Kościół,3,107,https://rj.metropoliaztm.pl/rozklady/3-107,0080FF,FF8080
BĘDZIN KOŚCIUSZKI - SĄCZÓW KOŚCIÓŁ,200,1,Będzin Kościuszki - Nowak-Mosty Będzin Arena - Będzin Muzeum - Łagisza Poczta - Gródków Szkoła - Psary Kościół - Góra Siewierska Pętla - Twardowice Remiza - Siemonia Leśna - Siemonia Kościół - Podsiemonia - Sączów Kościół,3,200,https://rj.metropoliaztm.pl/rozklady/3-200,FF0080,FF8080
BĘDZIN SIENKIEWICZA - GRODZIEC RÓŻYCKIEGO,25,1,Będzin Sienkiewicza - Będzin Aleja Kołłątaja - Nowak-Mosty Będzin Arena - Będzin Muzeum - Będzin Targowisko - Grodziec Ośr. Kultury - Grodziec Różyckiego - Grodziec Różyckiego,3,25,https://rj.metropoliaztm.pl/rozklady/3-25,000000,FF8080
BŁĘDÓW ZAGÓRZE - SOSNOWIEC SZPITAL WOJEWÓDZKI,612,1,Błędów Zagórze - Łazy Błędowskie Niegowonicka - Okradzionów Skrzyżowanie - Łęka Remiza - Łosień Szkoła - Reden Osiedle Mickiewicza - Dąbrowa Górnicza Centrum - Będzin Sienkiewicza - Będzin Aleja Kołłątaja - Będzin Kościuszki - Będzin Cmentarz Komunalny - Sosnowiec Szpital Wojewódzki,3,612,https://rj.metropoliaztm.pl/rozklady/3-612,FF1A2B,8080FF
CHEBZIE DWORZEC PKP - BYTOM DWORZEC,118,1,Chebzie Dworzec PKP - Chebzie Rondo - Ruda Południowa - Bytom Dworzec,3,118,https://rj.metropoliaztm.pl/rozklady/3-118,000000,
CHEBZIE PĘTLA  - CHORZÓW RYNEK,T17,1,Chebzie Pętla  - Lipiny Mijanka - Chropaczów Ratusz - Łagiewniki Targowisko - Piaśniki Skrzyżowanie - Świętochłowice Mijanka - Chorzów Bałtycka - Chorzów Rynek,0,1055,https://rj.metropoliaztm.pl/rozklady/0-T17,000000,FF00FF
CHEBZIE PĘTLA  - KATOWICE PLAC MIARKI,T11,1,Chebzie Pętla  - Lipiny Kościół - Piaśniki Skrzyżowanie - Chorzów Szarlociniec - Chorzów Rynek - Chorzów Stadion Śląski - Park Śląski Ogród Zoologiczny - Dąb Kościół - Katowice Rondo - Katowice Rynek - Katowice Plac Miarki,0,1049,https://rj.metropoliaztm.pl/rozklady/0-T11,000000,FFFF80
CHEŁM ŚLĄSKI FAWENT - CHEŁM ŚLĄSKI FAWENT,166,1,Chełm Śląski Fawent - Chełm Śląski Fawent,3,166,https://rj.metropoliaztm.pl/rozklady/3-166,FF0000,
CHORZÓW BATORY PARK LOGISTYCZNY - ZAWODZIE CENTRUM PRZESIADKOWE,74,1,Chorzów Batory Park Logistyczny - Chorzów Batory 16 Lipca - Chorzów Dąbrowskiego - Chorzów Rynek - Chorzów Stary Plac Jana - Michałkowice Plac 11 Listopada - Michałkowice Urząd Miasta - Siemianowice Śląska - Siemianowice Pszczelnicza - Siemianowice Powstańców - Dąbrówka Mała Kościół - Szopienice Kościół - Wilhelmina Skrzyżowanie - Zawodzie Centrum Przesiadkowe,3,74,https://rj.metropoliaztm.pl/rozklady/3-74,000000,FFFFFF
CHORZÓW CENTRUM EDUKACJI - OSIEDLE USTRONIE CHOPINA,231,1,Chorzów Centrum Edukacji - Świętochłowice Kościół - Osiedle Ustronie Chopina,3,231,https://rj.metropoliaztm.pl/rozklady/3-231,000000,
