stop_name,stop_code,stop_id,stop_lat,stop_lon,stop_url
Targoszyce Kościelna,2401052-03702,4036,50.438217,19.129118,https://rj.metropoliaztm.pl/rozklady/przystanek/2401052-03702/
Targoszyce Kościół,2401052-03801,4027,50.437996,19.135784,https://rj.metropoliaztm.pl/rozklady/przystanek/2401052-03801/
Targoszyce Kościół,2401052-03802,4028,50.438126,19.135668,https://rj.metropoliaztm.pl/rozklady/przystanek/2401052-03802/
Targoszyce Skrzyżowanie,2401052-03901,4011,50.43757,19.139616,https://rj.metropoliaztm.pl/rozklady/przystanek/2401052-03901/
Targoszyce Skrzyżowanie,2401052-03902,4012,50.437614,19.13985,https://rj.metropoliaztm.pl/rozklady/przystanek/2401052-03902/
Tarnowskie Góry Bytomska,2413041-06901,3570,50.441113,18.861069,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-06901/
Tarnowskie Góry Bytomska,2413041-06902,3569,50.443855,18.860386,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-06902/
Tarnowskie Góry Castorama,2413041-07601,5877,50.4365,18.840431,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-07601/
Tarnowskie Góry Castorama,2413041-07602,5874,50.436615,18.840464,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-07602/
Tarnowskie Góry Dworzec,2413041-00101,3599,50.44838,18.864443,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-00101/
Tarnowskie Góry Dworzec,2413041-00102,3598,50.448246,18.864346,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-00102/
Tarnowskie Góry Dworzec,2413041-00103,5869,50.448013,18.864195,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-00103/
Tarnowskie Góry Dworzec,2413041-00104,5870,50.447826,18.864077,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-00104/
Tarnowskie Góry Dworzec,2413041-00106,5872,50.447605,18.86367,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-00106/
