stop_id,stop_code_add,community_ids,stop_vehicle_type_ids,stop_attribute_ids,stop_long_name,city,street,voice_message_code
3018,"2",14,3,2_3,"","Gliwice","Główna",0
80,"1",17,3,2_3,"","Katowice","Tysiąclecia",0
3385,"2",12,3,2,"","Dąbrowa Górnicza","Hallerczyków",0
1386,"2",43,3,1_3,"","Sosnowiec","Kolonia Wągródka",0
110,"2",12,3,2_3,"","Dąbrowa Górnicza","aleja Majakowskiego",0
2947,"1",5,3,2,"","Bytom","Zabrzańska",0
2773,"1",5,3,2_3,"","Bytom","Gombrowicza",0
8045,"2",,,6,"","<Żadna>","",0
2322,"2",17,3,2_3,"","Katowice","Uniczowska",0
2427,"1",41,3,2,"","Siemianowice Śląskie","Wiejska",0
5575,"2",30,3,1,"","Ożarowice","Wolności",0
3283,"1",7,3,2,"","Chełm Śląski","Stacyjna",0
8870,"02",1,3,2_3,"","Bieruń","Ekonomiczna",0
6691,"5",1,3,2_3,"","Bieruń","Chemików",0
7112,"2",6,3,1,"","Będzin","Odrodzenia",0
1878,"1",43,3,2_4,"","Sosnowiec","Wojska Polskiego",0
3227,"3",17,3,2_3,"","Katowice","Szczecińska",0
8374,"4t",38,2,2_3,"","Ruda Śląska","Pawła",0
1202,"2",14,3,2_3,"","Gliwice","Pszczyńska",0
4306,"2t",53,2,2_3,"","Świętochłowice","Bytomska",0
5172,"2t",17,2,2_3,"","Katowice","Tadeusza Kościuszki",0
4577,"1t",5,2,2,"","Bytom","Piekarska",0
8642,"1",18,3,1,"","Knurów","Jęczmnienna",0
1955,"2",12,3,2,"","Dąbrowa Górnicza","Białej Przemszy",0
71,"2",47,3,2_3,"","Wojkowice","Piaski",0
2104,"1",6,3,2,"","Będzin","Krakowska",0
6266,"1",46,3_3,2_3,"","Tychy","Armii Krajowej",0
7995,"2",,,6,"","<Żadna>","",0
5259,"1",17,3,2_3,"","Katowice","Francuska",0
4312,"3t",5,2,2_4,"","Bytom","Katowicka",0
5916,"2",57,3,2,"","Toszek","Dworcowa",0
2778,"2",5,3,2_3,"","Bytom","Rokitnicka",0
5379,"1",43,3,2,"","Sosnowiec","Klimontowska",0
3460,"1",17,3,2,"","Katowice","Gliwicka",0
5721,"1",23,3,2,"","Mierzęcice","Buczka",0
5866,"1",,,6,"","<Żadna>","",0
3116,"1",14,3,2_3,"","Gliwice","Rybnicka",0
548,"1",31,3,2_3,"","Piekary Śląskie","Sadowskiego",0
1505,"1",5,3,2,"","Bytom","Kruszcowa",0
166,"1",38,3,2_3,"","Ruda Śląska","Edmunda Kokota",0
1459,"2",26,3,2_3,"","Mysłowice","Kosztowska",0
2031,"2",49,3,2_3,"","Zabrze","Heweliusza",0
134,"2",8,3,2_4,"","<Żadna>","",0
6589,"2",28,3,2,"","Ornontowice","Działkowa",0
8204,"1",36,3,2,"","Pyskowice","Lokalna",0
27,"1",43,3,2_3,"","Sosnowiec","Okrzei",0
9991,"1",6,3,1_3,"","Będzin","Stefana Żeromskiego",0
5915,"1",57,3,2,"","Toszek","Dworcowa",0
1980,"1",52,3,1_3,"","Świerklaniec","Radzionkowska",0
8319,"1",43,3,2,"","Sosnowiec","Inwestycyjna",0
3933,"1",11,3,2,"","Czerwionka-Leszczyny","Gliwicka",0
8588,"3/tech",17,3,5,"","Katowice","Obroki",0
6384,"1",46,3,2,"","Tychy","Oświęcimska",0
4371,"1t",6,2,2_3,"","Będzin","Aleja Hugona Kołłątaja",0
4461,"2t",17,2,2_3,"","Katowice","Obrońców Westerplatte",0
3774,"2",14,3,2_3,"","Gliwice","Bardowskiego",0
5499,"1",26,3,2,"","Mysłowice","Plebiscytowa",0
5010,"1",,,6,"","<Żadna>","",0
5456,"2",17,3,2,"","Katowice","Porcelanowa",0
8322,"4",12,3,2,"","Dąbrowa Górnicza","Konstytucji",0
5567,"1",31,3,1,"","Piekary Śląskie","Sadowskiego",0
2256,"1",17,3,2_3,"","Katowice","Gen. Waltera Jankego",0
2196,"2",17,3,2_3,"","Katowice","Owsiana",0
2690,"1",14,3,1_3,"","Gliwice","Kujawska",0
3001,"1",12,3,2,"","Dąbrowa Górnicza","Parkowa",0
8107,"2t",17,2,2_3,"","Katowice","Tadeusza Kościuszki",0
1600,"1",17,3,2_3,"","Katowice","Zadole",0
8187,"2",37,3,2_3,"","Radzionków","Unii Europejskiej",0
7213,"1",17,3,1,"","Katowice","Goetla",0
8411,"1",34,3,1,"","Strzyżowice","Szosowa",0
5177,"2",24,3,2,"","Mikołów","Pszczyńska",0
7539,"3",18,3,2,"","Knurów","Księdza Alojzego Koziełka",0
3902,"3",23,3,2,"","Mierzęcice","Topolowa",0
6320,"1",46,3,2,"","Tychy","Strefowa",0
1585,"3",17,3,2_3,"","Katowice","Panewnicka",0
622,"2",32,3,1,"","Pilchowice","Dolna wieś",0
7929,"1",51,3,2,"","Zbrosławice","Długa",0
6729,"2",19,3,2_3,"","Kobiór","Przelotowa",0
7984,"2",46,3,2_3,"","Tychy","Wspólna",0
1327,"7",6,3,2_3,"","Będzin","Tadeusza Kościuszki",0
1882,"1",43,3,2,"","Sosnowiec","Orląt Lwowskich",0
3566,"8/Szom",5,3,2_3_4_8,"","Bytom","Plac Wolskiego",0
1225,"1",17,3,2,"","Katowice","Leśnego Potoku",0
6140,"02",46,3,2,"","Tychy","Mąkołowska",0
8393,"1",49,3,2,"","Zabrze","Sportowa",0
